company,valuation,dateJoined,yearJoined,country,city,longitude,latitude,industry,investor_1,investor_2,investor_3,investor_4
Argo AI,7.25,07/12/2019,2019,United States,Pittsburgh,-79.99588640,40.44062480,"Auto, Transport & Travel",Volkswagen Group, Ford Autonomous Vehicles,,
Gong,7.25,08/12/2020,2020,United States,Palo Alto,-122.14301950,37.44188340,AI & Cybersecurity,Norwest Venture Partners, Next World Capital, Wing Venture Capital,
TripActions,7.25,11/08/2018,2018,United States,Palo Alto,-122.14301950,37.44188340,"Auto, Transport & Travel",Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,
Automation Anywhere,6.8,07/02/2018,2018,United States,San Jose,-121.88525250,37.33874000,AI & Cybersecurity,General Atlantic, Goldman Sachs, New Enterprise Associates,
1Password,6.8,07/08/2021,2021,Canada,Toronto,-79.38318430,43.65322600,AI & Cybersecurity,Slack Fund, Accel, Skip Capital,
Klarna,6.7,12/12/2011,2011,Sweden,Stockholm,18.06858080,59.32932350,Other,Institutional Venture Partners, Sequoia Capital, General Atlantic,
SVOLT,6.51,06/08/2020,2020,China,Changzhou,119.97365000,31.81071990,"Auto, Transport & Travel",IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management
National Stock Exchange of India,6.5,07/01/2020,2020,India,Mumbai,72.87765590,19.07598370,Fintech & data management,TA Associates, SoftBank Group, GS Growth,
Mollie,6.5,09/08/2020,2020,Netherlands,Amsterdam,4.90413890,52.36757340,Fintech & data management,Technology Crossover Ventures,,,
Upgrade,6.28,02/12/2018,2018,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Union Square Ventures, Ribbit Capital, VY Capital,
Hinge Health,6.2,01/06/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Health,Atomico, Insight Partners, Coatue Management,
Better.com,6,11/10/2020,2020,United States,New York,-74.00597280,40.71277530,Fintech & data management,Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers,
Easyhome,5.78,02/12/2018,2018,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Alibaba Group, Boyu Capital, Borui Capital,
Lianjia,5.77,04/07/2016,2016,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Tencent, Baidu, Huasheng Capital,
Vice Media,5.7,04/02/2011,2011,United States,Brooklyn,-73.94415790,40.67817840,Other,Technology Crossover Ventures, A&E Television Networks,,
Cityblock Health,5.7,12/10/2020,2020,United States,Brooklyn,-73.94415790,40.67817840,Health,Thrive Capital, Maverick Ventures, Redpoint Ventures,
Workato,5.7,01/12/2021,2021,United States,Mountain View,-122.08385110,37.38605170,"Internet, mobile & telecommunications",Battery Ventures, Storm Ventures, Redpoint Ventures,
Postman,5.6,06/11/2020,2020,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Nexus Venture Partners, CRV, Insight Partners,
OneTrust,5.1,07/11/2019,2019,United States,Atlanta,-84.38768450,33.74875200,"Internet, mobile & telecommunications",Insight Partners,,,
QuintoAndar,5.1,09/09/2019,2019,Brazil,Campinas,-47.06263320,-22.90993840,"Consumer, retail & ecommerce",Kaszek Ventures, General Atlantic, SoftBank Group,
C6 Bank,5.05,12/02/2020,2020,Brazil,Sao Paulo,-46.63955710,-23.55577140,Fintech & data management,Credit Suisse,,,
Hello TransTech,5,06/01/2018,2018,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",Ant Financial Services Group, GGV Capital,,
Mambu,5.5,01/06/2021,2021,Netherlands,Amsterdam,4.90413890,52.36757340,Fintech & data management,Runa Capital, Acton Capital Partners, Point Nine Capital,
Toss,5.48,12/09/2018,2018,South Korea,Seoul,126.97796920,37.56653500,Fintech & data management,Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,
WM Motor,5,03/08/2019,2019,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",Baidu Capital, Linear Venture, Tencent,
OakNorth Bank,5,10/12/2017,2017,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Clermont Group, Coltrane Asset Management, Toscafund Asset Management,
Cockroach Labs,5,01/12/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Google Ventures, Benchmark, FirstMark Capital,
Qonto,5,01/11/2022,2022,France,Paris,2.35222190,48.85661400,Fintech & data management,Alven Capital, Valar Ventures, Tencent Holdings,
Ola Electric Mobility,5,07/02/2019,2019,India,Bengaluru,77.59456270,12.97159870,"Auto, Transport & Travel",SoftBank Group, Tiger Global Management, Matrix Partners India,
ShareChat,5,04/08/2021,2021,India,Bengaluru,77.59456270,12.97159870,"Internet, mobile & telecommunications",India Quotient, Elevation Capital, Lightspeed Venture Partners,
Meesho,4.9,04/05/2021,2021,India,Bengaluru,77.59456270,12.97159870,"Internet, mobile & telecommunications",Venture Highway, Sequoia Capital India, Prosus Ventures,
Cerebral,4.8,06/10/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Health,Oak HC/FT Partners, Artis Ventures, WestCap Group,
Reify Health,4.8,08/10/2021,2021,United States,Boston,-71.05888010,42.36008250,Health,Sierra Ventures, Battery Ventures, Asset Management Ventures,
Pleo,4.7,07/06/2021,2021,Denmark,Copenhagen,12.56833710,55.67609680,Fintech & data management,Creandum, Founders, Kinnevik,
Anduril,4.6,09/11/2019,2019,United States,Irvine,-117.82650490,33.68456730,AI & Cybersecurity,Andreessen Horowitz, Founders Fund, Revolution Ventures,
Dataiku,4.6,12/04/2019,2019,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,Alven Capital, FirstMark Capital, capitalG,
Color,4.6,01/04/2021,2021,United States,Burlingame,-122.34809000,37.57786960,Health,General Catalyst, Viking Global Investors, T. Rowe Price,
wefox,4.5,03/05/2019,2019,Germany,Berlin,13.40495400,52.52000660,Fintech & data management,Salesforce Ventures, Seedcamp, OMERS Ventures,
Zhiji Auto,4.5,08/01/2022,2022,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",Pudong VC, Zhiyou Venture Capital,,
ThoughtSpot,4.2,05/08/2018,2018,United States,Sunnyvale,-122.03634960,37.36883000,"Internet, mobile & telecommunications",Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,
SSENSE,4.15,06/08/2021,2021,Canada,Montreal,-73.56739190,45.50188690,"Consumer, retail & ecommerce",Sequoia Capital,,,
Dataminr,4.1,06/04/2018,2018,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,Venrock, Institutional Venture Partners, Goldman Sachs,
CRED,4.01,04/06/2021,2021,India,Bengaluru,77.59456270,12.97159870,Fintech & data management,Tiger Global Management, DST Global, Sequoia Capital India,
Yello Mobile,4,11/11/2014,2014,South Korea,Seoul,126.97796920,37.56653500,"Internet, mobile & telecommunications",Formation 8,,,
Next Insurance,4,10/07/2019,2019,United States,Palo Alto,-122.14301950,37.44188340,Fintech & data management,Zeev Ventures, Ribbit Capital, TLV Partners,
Patreon,4,09/02/2020,2020,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Index Ventures, Thrive Capital, CRV,
PointClickCare,4,01/07/2021,2021,Canada,Mississauga,-79.64411980,43.58904520,"Internet, mobile & telecommunications",Dragoneer Investment Group, Hellman & Friedman, JMI Equity,
Olive,4,12/01/2020,2020,United States,Columbus,-82.99879420,39.96117550,Health,Drive Capital, General Catalyst, Ascension Ventures,
Farmers Business Network,4,08/03/2020,2020,United States,San Carlos,-122.26052220,37.50715910,Other,Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,
Branch,4,09/10/2018,2018,United States,Redwood City,-122.22814100,37.48479550,"Internet, mobile & telecommunications",New Enterprise Associates, Pear, Cowboy Ventures,
Abnormal Security,4,05/10/2022,2022,United States,San Francisco,-122.41941550,37.77492950,AI & Cybersecurity,Greylock Partners, Insight Partners,Menlo Ventures,
Intarcia Therapeutics,3.8,04/01/2014,2014,United States,Boston,-71.05888010,42.36008250,Health,New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital,
MessageBird,3.8,10/08/2020,2020,Netherlands,Amsterdam,4.90413890,52.36757340,"Internet, mobile & telecommunications",Y Combinator, Atomico, Accel,
Cohesity,3.7,06/11/2018,2018,United States,San Jose,-121.88525250,37.33874000,Fintech & data management,SoftBank Group, Sequoia Capital, Wing Venture Capital,
Papaya Global,3.7,03/04/2021,2021,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",Bessemer Venture Partners, Insight Partners, New Era Ventures,
Celsius Network,3.5,10/12/2021,2021,United States,Hoboken,-74.03236260,40.74399050,Fintech & data management,WestCap Group, Caisse de depot et placement du Quebec,,
Handshake,3.5,05/12/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,
Helion Energy,3.5,11/05/2021,2021,United States,Redmond,-122.12151200,47.67398810,Other,Mithril Capital Management, Y Combinator, Capricorn Investment Group,
Youxia Motors,3.35,04/02/2018,2018,China,Shanghai,121.47370100,31.23041600,"Auto, Transport & Travel",China Environmental Protection Industry, China Fortune Ocean,,
Starburst,3.35,01/06/2021,2021,United States,Boston,-71.05888010,42.36008250,Fintech & data management,Index Ventures, Coatue Management, Andreessen Horowitz,
Starling Bank,3.34,03/08/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,JTC Group, Qatar Investment Authority, Fidelity Investment,
Dadi Cinema,3.24,05/11/2016,2016,China,Shenzhen,114.05956000,22.54285990,Other,Alibaba Pictures Group,,,
Cedar,3.2,03/09/2021,2021,United States,New York,-74.00597280,40.71277530,Fintech & data management,Thrive Capital, Founders Fund, Cocnord Health Partners,
Skims,3.2,04/09/2021,2021,United States,Los Angeles,-118.24368490,34.05223420,"Consumer, retail & ecommerce",Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,
Eikon Therapeutics,3.2,01/06/2022,2022,United States,Hayward,-122.08099640,37.66876650,Health,The Column Group, Foresite Capital, Foresite Capital,
HighRadius,3.1,01/07/2020,2020,United States,Houston,-95.36980280,29.76042670,Fintech & data management,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,
"Auto, Transport & Traveloka",3,01/01/2017,2017,Indonesia,Jakarta,106.84559900,-6.20876340,"Auto, Transport & Travel",Global Founders Capital, East Ventures, Expedia Inc.,
SouChe Holdings,3,11/01/2017,2017,China,Hangzhou,120.15515000,30.27414990,"Consumer, retail & ecommerce",Morningside Ventures, Warburg Pincus, CreditEase Fintech & data management Investment Fund,
Wildlife Studios,3,12/05/2019,2019,Brazil,Sao Paulo,-46.63955710,-23.55577140,Other,Benchmark, Bessemer Venture Partners,,
BlockFi,3,03/11/2021,2021,United States,Jersey City,-74.04314350,40.71775450,Fintech & data management,ConsenSys Ventures, Valar Ventures, PUC,
LaunchDarkly,3,08/10/2021,2021,United States,Oakland,-122.27116390,37.80435140,"Internet, mobile & telecommunications",Uncork Capital, Threshold Ventures, Bloomberg Beta,
Sky Mavis,3,10/04/2021,2021,Vietnam,Ho Chi Minh City,106.62966380,10.82309890,"Internet, mobile & telecommunications",Fabric Ventures, 500 Global, Standard Crypto,
Groww,3,04/07/2021,2021,India,Bengaluru,77.59456270,12.97159870,Fintech & data management,Tiger Global Management, Sequoia Capital India, Ribbit Capital,
Podium,3,04/07/2020,2020,United States,Lehi,-111.85076620,40.39161720,"Internet, mobile & telecommunications",Accel, Summit Partners, Google Ventures,
Flutterwave,3,03/09/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Green Visor Capital, CRE Venture Capital, Greycroft,
Cross River Bank,3,02/11/2022,2022,United States,Fort Lee,-77.33818550,37.24895370,Fintech & data management,Battery Ventures, Andreessen Horowitz, Ribbit Capital,
Loft,2.9,01/03/2020,2020,Brazil,Sao Paulo,-46.63955710,-23.55577140,"Consumer, retail & ecommerce",Monashees+, Andreessen Horowitz, QED Investors,
Flink,2.85,12/01/2021,2021,Germany,Berlin,13.40495400,52.52000660,"Consumer, retail & ecommerce",Mubadala Capital, Bond, Prosus Ventures,
BackBase,2.66,06/09/2022,2022,Netherlands,Amsterdam,4.90413890,52.36757340,Fintech & data management,Motive Partners,,,
ManoMano,2.6,07/05/2021,2021,France,Paris,2.35222190,48.85661400,"Consumer, retail & ecommerce",General Atlantic, Piton Capital, Partech Partners,
Axonius,2.6,03/01/2021,2021,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,
Xinchao Media,2,04/09/2018,2018,China,Chengdu,104.06650990,30.57225990,"Internet, mobile & telecommunications",JD.com, Baidu, Vision Plus Capital,
Unico,2.6,08/03/2021,2021,Brazil,Sao Paulo,-46.63955710,-23.55577140,AI & Cybersecurity,Big Bets, General Atlantic, SOFTBANK Latin America Ventures,
Oura,2.55,04/05/2022,2022,Finland,Oulu,25.46507730,65.01208880,Health,Forerunner Ventures, Lifeline Ventures, MSD Capital,
Varo Bank,2.5,09/09/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Warburg Pincus, The Rise Fund, HarbourVest Partners,
Immutable,2.5,03/07/2022,2022,Australia,Sydney,151.20929550,-33.86881970,Fintech & data management,Fabric Ventures, AirTree Ventures, Temasek,
A24 Films,2.5,03/09/2022,2022,United States,New York,-74.00597280,40.71277530,Other,Stripes Group, Neuberger Berman,,
Hibob,2.45,10/12/2021,2021,Israel,Tel Aviv,34.78176760,32.08529990,"Internet, mobile & telecommunications",Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures,
Cybereason,2.44,08/06/2019,2019,United States,Boston,-71.05888010,42.36008250,AI & Cybersecurity,SoftBank Group, CRV, Spark Capital,
PolicyBazaar,2.4,05/06/2019,2019,India,Gurgaon,77.02663830,28.45949650,Fintech & data management,Info Edge, Softbank Capital,,
Exabeam,2.4,06/01/2021,2021,United States,Foster City,-122.27107880,37.55854650,AI & Cybersecurity,Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners,
HoneyBook,2.4,05/04/2021,2021,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Norwest Venture Partners, Hillsven Capital, Aleph,
ManyPets,2.35,06/01/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Octopus Ventures, Munich Re Ventures, CommerzVentures,
Jobandtalent,2.35,12/01/2021,2021,Spain,Madrid,-3.70379020,40.41677540,"Internet, mobile & telecommunications",Kibo Ventures, SoftBank Group, Atomico,
WEMAKEPRICE,2.34,09/09/2015,2015,South Korea,Seoul,126.97796920,37.56653500,Other,IMM Investment, NXC,,
Skydance Media,2.3,02/11/2020,2020,United States,Santa Monica,-118.49119120,34.01945430,Other,RedBird Capital Partners, CJ ENM, Tencent Holdings,
MoMo,2.27,12/10/2021,2021,Vietnam,Ho Chi Minh City,106.62966380,10.82309890,Fintech & data management,Goodwater Capital, Warburg Pincus, GS Growth,
Zume,2.25,11/01/2018,2018,United States,Mountain View,-122.08385110,37.38605170,"Consumer, retail & ecommerce",Softbank Group, AME Cloud Ventures, SignalFire,
Pattern,2.25,10/06/2021,2021,United States,Lehi,-111.85076620,40.39161720,"Internet, mobile & telecommunications",Knox Lane, Ainge Advisory, Carlson Private Capital Partners,
Newfront Insurance,2.2,04/12/2022,2022,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Founders Fund, Meritech Capital Partners, GS Growth,
MUSINSA,2.2,11/11/2019,2019,South Korea,Seoul,126.97796920,37.56653500,"Consumer, retail & ecommerce",Sequoia Capital,,,
Bitso,2.2,05/05/2021,2021,Mexico,Mexico City,-99.13320800,19.43260770,Fintech & data management,Pantera Capital, QED Investors, Coinbase Ventures,
Gympass,2.2,06/12/2019,2019,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",General Atlantic, SoftBank Group, Atomico,
Dialpad,2.2,10/06/2020,2020,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Andreessen Horowitz, Google Ventures, Section 32,
Huaqin Telecom Technology,2.19,10/08/2019,2019,China,Shanghai,121.47370100,31.23041600,"Internet, mobile & telecommunications",Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital,
Accelerant,2.19,01/12/2022,2022,United Kingdom,Colchester,0.89187400,51.89592700,Other,Deer Park Road, Altamont Capital Partners, Eldridge,
Hesai Tech,2.18,08/01/2020,2020,China,Shanghai,121.47370100,31.23041600,AI & Cybersecurity,Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners,
YITU Technology,2.17,03/08/2018,2018,China,Shanghai,121.47370100,31.23041600,AI & Cybersecurity,Sequoia Capital China, Banyan Capital,,
CloudWalk,2.15,09/08/2021,2021,Brazil,Sao Paulo,-46.63955710,-23.55577140,Fintech & data management,Plug and Play Ventures, Valor Capital Group, DST Global,
CoinDCX,2.15,08/10/2021,2021,India,Maharashtra,75.71388840,19.75147980,Fintech & data management,Polychain Capital, Coinbase Ventures, Jump Capital,
FirstCry,2.1,02/07/2020,2020,India,Pune,73.85674370,18.52043030,"Consumer, retail & ecommerce",SoftBank Group, SAIF Partners India, Valiant Capital Partners,
ReCharge,2.1,05/06/2021,2021,United States,Los Angeles,-118.24368490,34.05223420,Fintech & data management,ICONIQ Growth, Bain Capital Ventures, Summit Partners,
GoCardless,2.1,02/08/2022,2022,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Accel, Passion Capital, Balderton Capital,
Tubatu.com,2,03/09/2015,2015,China,Shenzhen,114.05956000,22.54285990,"Consumer, retail & ecommerce",Sequoia Capital China, Matrix Partners China, 58.com,
HuiMin,2,09/05/2016,2016,China,Beijing,116.40739500,39.90421100,"Consumer, retail & ecommerce",Zheshang Venture Capital, GP Capital, Western Capital Management,
Improbable,1,05/11/2017,2017,United Kingdom,London,-0.12758620,51.50721780,Other,Andreessen Horowitz, SoftBank Group, Temasek Holdings,
Calm,2,02/06/2019,2019,United States,San Francisco,-122.41941550,37.77492950,"Internet, mobile & telecommunications",Insight Venture Partners, TPG Growth, Sound Ventures,
Unqork,2,10/06/2020,2020,United States,New York,-74.00597280,40.71277530,Fintech & data management,Blackrock, capitalG, World Lab Innovation,
Virta Health,2,12/02/2020,2020,United States,San Francisco,-122.41941550,37.77492950,Health,Caffeinated Capital, Obvious Ventures, Venrock,
Kajabi,2,05/04/2021,2021,United States,Irvine,-117.82650490,33.68456730,"Internet, mobile & telecommunications",Meritech Capital Partners, Tiger Global Management, Spectrum Equity,
Ethos,2.7,05/11/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Sequoia Capital, Google Ventures, Accel,
PayFit,2.1,01/06/2022,2022,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Accel, frst, Kima Ventures,
Beisen,2,05/11/2021,2021,China,Beijing,116.40739500,39.90421100,"Internet, mobile & telecommunications",Matrix Partners China, Sequoia Capital China, Genesis Capital,
Clip,2,06/10/2021,2021,Mexico,Mexico City,-99.13320800,19.43260770,Fintech & data management,Alta Ventures Mexico, General Atlantic, SoftBank Group,
OCSiAl,2,03/04/2019,2019,Luxembourg,Leudelange,6.06502350,49.56806230,Other,A&NN, Rusnano,,
XtalPi,2,08/11/2021,2021,China,Shenzhen,114.05956000,22.54285990,AI & Cybersecurity,Tencent Holdings, 5Y Capital, Sequoia Capital China,
Aviatrix,2,09/08/2021,2021,United States,Santa Clara,-121.95523560,37.35410790,"Internet, mobile & telecommunications",Ignition Partners, Formation 8, CRV,
SmartNews,2,08/05/2019,2019,Japan,Tokyo,139.65031060,35.67619190,"Internet, mobile & telecommunications",Japan Post Capital, Globis Capital Partners, Atomico,
Modern Treasury,2,10/06/2021,2021,United States,San Francisco,-122.41941550,37.77492950,Fintech & data management,Benchmark, Altimeter Capital, Quiet Capital,
Mynt,2,11/01/2021,2021,Philippines,Taguig City,121.05086450,14.51761840,Fintech & data management,Insight Partners, Warburg Pincus, Ayala Corporation,
Everlaw,2,03/10/2020,2020,United States,Oakland,-122.27116390,37.80435140,"Internet, mobile & telecommunications",K9 Ventures, Menlo Ventures, Andreessen Horowitz,
Zilch,2,11/10/2021,2021,United Kingdom,London,-0.12758620,51.50721780,Fintech & data management,Gauss Ventures, Ventura Capital, dmg ventures,
VerbIT,2,06/08/2021,2021,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,ClalTech, Vertex Ventures, Oryzn Capital,
Dremio,2,01/06/2021,2021,United States,Santa Clara,-121.95523560,37.35410790,Fintech & data management,Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners,
Lunar,2,07/12/2021,2021,Denmark,Aarhus,10.20392100,56.16293900,Fintech & data management,SEED Capital, Greyhound Capital, Socii Capital,
Hugging Face,2,05/09/2022,2022,United States,New York,-74.00597280,40.71277530,AI & Cybersecurity,Betaworks Ventures, Addition, Lux Capital,
Rimac Automobili,2,06/01/2022,2022,Croatia,Sveta Nedelja,15.77628620,45.79673840,"Auto, Transport & Travel",Porsche, ,InvestIndustrial, SoftBank Group
ZigBang,1.93,06/07/2022,2022,South Korea,Seoul,126.97796920,37.56653500,"Internet, mobile & telecommunications",Black Pearl Ventures, Stonebridge Ventures, Yuanta Investment Korea,
Ankorstore,1.98,01/10/2022,2022,France,Paris,2.35222190,48.85661400,"Consumer, retail & ecommerce",Global Founders Capital, Aglae Ventures, Alven Capital,
InVision,1.9,11/01/2017,2017,United States,New York,-74.00597280,40.71277530,"Internet, mobile & telecommunications",FirstMark Capital, Tiger Global Management, ICONIQ Capital,
eDaili,1.9,02/01/2019,2019,China,Shanghai,121.47370100,31.23041600,"Consumer, retail & ecommerce",K2VC, Lightspeed China Partners, Sky9 Capital,
